96,0.46875,0.5,35.021,1277.8,58.125,3487.5,0.19819,3.9532,91,0.47253,0.37363,31.462,1172.3,3.5055,128.93,50.769,3046.2,5.9341,356.04,0.18667,3.9962,0.01685,0.29788,327.93,2,107,100,96.29,25,-1000,50,99,99,99,231.03,2,98,1.8768,97.85,2.36,-117.09,2.66,81,91,99,0.0053254,0.0088877,0.023027,0.022495,0.56291,0.97157,1.58E+16,5.81E+17,2.67E+16,1.60E+18,7.59E+13,1.34E+15,0,255,251.99,2,0,0,0,-1,0,0,298,3871,0,1,0,261,0,2812,1,0,0,0,0,0,0,0,0,1,0
63,0.5873,0.38095,34.508,1245.4,58.095,3485.7,0.20931,4.3596,63,0.5873,0.22222,30.079,1120.2,6.5397,227.62,48.571,2914.3,11.429,685.71,0.1636,3.2095,0.050159,1.1007,225.59,2,67,100,98.21,25,-1000,50,65,65,99,233.87,2,64,7.0379,98.23,3.65,-65.78,4.12,51,63,99,-0.0055504,0.0055515,0.011568,0.020407,0.53165,0.95589,2.95E+16,1.03E+18,5.15E+16,3.09E+18,2.26E+14,4.96E+15,0,184,184,114,0,0,0,-1,0,0,196,2516,0,0,0,264,0,1852,1,0,0,0,0,0,0,1,0,0,0
67,0.35821,0.41791,24.955,828.66,46.567,2794,0.17174,3.4362,65,0.32308,0.30769,21.385,734.43,8.2154,295.23,37.846,2270.8,13.846,830.77,0.14974,3.1352,0.053128,1.1087,189.41,2,75,100,93.62,25,-1000,50,53,53,99,380.6,2,72,28.107,94.23,5.29,-116.73,5.7,49,57,99,-0.12973,-0.18627,-0.085779,-0.1323,0.57944,0.97184,3.70E+16,1.33E+18,6.24E+16,3.74E+18,2.39E+14,4.99E+15,0,157,157,194,0,0,0,-1,0,0,159,1914,0,1,0,411,0,1396,1,0,0,0,0,0,0,0,0,1,0
120,0.33333,0.65833,36.183,1325.5,58.7,3512.4,0.22522,4.695,111,0.30631,0.44144,27.243,996.43,7.7748,272.82,44.865,2691.9,13.514,810.81,0.15952,3.3756,0.055976,1.2214,343.01,2,126,100,96.06,25,-1000,50,104,104,99,603.02,2,115,14.526,97.29,5.24,-259.27,5.5,88,108,99,-0.011178,-0.0060975,0.0099338,0.026015,0.58668,1.0177,3.50E+16,1.23E+18,6.09E+16,3.65E+18,2.52E+14,5.50E+15,0,255,251.99,187,0,0,0,-1,0,0,313,4130,0,0,0,633,0,2955,0,0,1,0,0,0,0,1,0,0,0
73,0.57534,0.41096,35.151,1272.1,59.178,3550.7,0.20822,4.2787,294,0.39796,0.34014,27.075,996.56,8.4898,313.54,44.286,2657.1,13.745,821.91,0.158,3.2603,0.054104,1.1218,243.65,2,75,100,97.35,25,-1000,50,71,71,99,1527.6,2,249,8.1572,97.65,6.13,-618.81,6.26,187,240,99,0.0088837,0.020411,-0.022292,-0.013312,0.51672,0.99463,3.82E+16,1.41E+18,6.19E+16,3.70E+18,2.44E+14,5.05E+15,0,217,217,155,0,0,0,-1,0,0,214,2773,0,2,0,1558,0,6501,0,0,0,0,0,0,0,0,0,1,0
93,0.56989,0.39785,34.538,1246.5,58.065,3483.9,0.21419,4.4565,83,0.38554,0.28916,24.566,899.39,9.1446,323.17,40.482,2428.9,15.904,954.22,0.15406,3.25,0.061526,1.303,303.83,2,98,100,96.13,25,-1000,50,91,91,99,586.91,2,87,6.0995,97.02,6.75,-290.26,7.09,60,79,99,0.019835,0.034007,-0.00071531,0.0028498,0.52106,1.0048,4.12E+16,1.46E+18,7.16E+16,4.30E+18,2.77E+14,5.87E+15,0,255,251.99,229,0,0,0,-1,0,0,274,3535,0,0,0,617,0,2015,0,1,0,0,0,0,0,1,0,0,0
70,0.5,0.48571,35.529,1293.7,58.286,3497.1,0.19581,3.8556,72,0.29167,0.43056,26.403,971.21,9.0694,330.79,43.333,2600,15,900,0.17889,3.9407,0.055,1.0828,237.64,2,71,100,97.6,25,-1000,50,69,69,99,528.98,2,79,1.8768,97.04,6.7,-114.28,7.08,58,73,99,-0.21376,-0.19747,0.032942,0.018665,0.59024,0.97316,4.08E+16,1.49E+18,6.76E+16,4.05E+18,2.48E+14,4.88E+15,0,208,208,203,0,0,0,-1,1,0,208,2702,0,1,1,559,0,1877,0,1,0,0,0,0,0,0,1,0,0
70,0.35714,0.54286,32.414,1174.4,54,3240,0.21695,4.5472,60,0.2,0.58333,27.7,994.43,6.2333,233.27,47,2820,10,600,0.16822,3.4531,0.046889,1.0513,219.6,2,73,100,96.61,25,-1000,50,63,63,99,200.95,2,61,4.2184,98.45,3.29,-36.48,3.79,50,57,99,0.01219,0.011496,-0.00842,0.0023431,0.54658,0.91947,2.81E+16,1.05E+18,4.50E+16,2.70E+18,2.11E+14,4.73E+15,0,190,190,105,0,0,0,-1,0,0,190,2468,0,0,0,231,0,1643,1,0,0,0,0,0,0,1,0,0,0
121,0.34711,0.52066,30.661,1096.2,51.669,3086,0.17311,3.4403,116,0.30172,0.56034,30.922,1119.6,3.9138,139.26,51.724,3103.4,6.7241,403.45,0.19172,3.8756,0.026552,0.54586,348.98,2,136,100,91.55,25,-1000,50,106,106,99,145.22,2,124,47.728,95.64,1.17,-53.3,1.41,108,115,99,-0.10581,-0.14504,-0.034297,-0.057806,0.55132,1.0144,1.76E+16,6.27E+17,3.03E+16,1.82E+18,1.20E+14,2.46E+15,0,255,251.99,12,0,0,0,-1,6,0,319,4104,0,2,4,175,0,3592,0,0,1,0,0,0,0,1,0,0,0
111,0.53153,0.34234,30.297,1065.8,52.432,3145.9,0.18871,3.9475,108,0.5463,0.26852,28.324,1003.3,3.8611,136.73,48.889,2933.3,6.6667,400,0.17654,3.7175,0.027284,0.59296,318.87,2,115,100,96.37,25,-1000,50,96,96,99,126.15,2,110,17.71,96.97,1.15,-75.5,1.42,95,100,99,-0.1121,-0.13475,-0.050151,-0.052271,0.53499,1.0127,1.74E+16,6.16E+17,3.00E+16,1.80E+18,1.23E+14,2.67E+15,0,255,251.99,24,0,0,0,-1,0,0,289,3666,0,1,0,156,0,3069,1,0,0,0,0,0,0,0,0,1,0
